0,0,0,0,0,0,0,0,0,0,76923,0,0,0,0,0,0,0,0,0
1403,1084,850,627,442,349,234,185,136,95,19182,352,14308,10928,8098,6086,4596,3409,2601,1958
2503,2036,1831,1430,1207,962,849,704,590,466,12700,2398,10521,8915,7492,6214,5197,4412,3550,2946
2910,2688,2551,2264,2098,1900,1616,1559,1436,1366,6367,14844,5883,5399,4936,4525,4147,3833,3401,3200
0,0,0,0,0,0,0,0,0,0,76923,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,70580,0,5819,490,26,7,1,0,0,0
0,0,0,0,0,0,0,0,0,0,64247,0,10518,1806,298,46,6,2,0,0
0,0,0,0,0,0,0,0,0,0,57673,0,14444,3587,925,228,52,11,2,1
4,0,0,0,0,0,0,0,0,0,51051,0,17199,5803,1935,626,212,68,18,7
15,10,4,2,4,0,0,0,0,0,44793,0,18742,7762,3315,1337,590,219,87,43
68,31,17,12,4,4,2,0,0,0,38484,0,19266,9597,4731,2398,1272,594,280,163
258,146,82,58,26,20,6,4,0,2,32236,6,18566,10964,6285,3674,2177,1257,742,414
690,435,296,191,143,82,39,43,34,23,25760,37,17159,11249,7523,5072,3363,2201,1560,1023
